StandardAnalyte,StationName,SampleDate,SampleType,SourceType,AnalysisGroup,SampleMedia,StandardResult,StandardUnit,FinalQualifier,StandardDetLimit
"Vanadium, total",FE-4581,5/13/15,Primary,S,Metals,SW,2,ug/L,U,2
"Zinc, dissolved",FE-4581,5/13/15,Primary,S,Metals,SW,530,ug/L,2,10
"Zinc, total",FE-4581,5/13/15,Primary,S,Metals,SW,490,ug/L,2,10
Specific Conductance,FE-4581,5/13/15,Field Measurement,S,Physical,SW,192,uS/cm,1,-9999
ORP,FE-4581,5/13/15,Field Measurement,S,Physical,SW,138.7,mV,1,-9999
"Oxygen, Dissolved",FE-4581,5/13/15,Field Measurement,S,Physical,SW,8040,ug/L,1,-9999
pH,FE-4581,5/13/15,Field Measurement,S,Physical,SW,7.19,SU,1,-9999
Temperature,FE-4581,5/13/15,Field Measurement,S,Physical,SW,12.71,C,1,-9999
Turbidity,FE-4581,5/13/15,Field Measurement,S,Physical,SW,4.7,NTU,1,-9999
Specific Conductance,FE-4581,5/14/15,Field Measurement,S,Physical,SW,204,uS/cm,1,-9999
ORP,FE-4581,5/14/15,Field Measurement,S,Physical,SW,175.1,mV,1,-9999
"Oxygen, Dissolved",FE-4581,5/14/15,Field Measurement,S,Physical,SW,9910,ug/L,1,-9999
pH,FE-4581,5/14/15,Field Measurement,S,Physical,SW,6.6,SU,1,-9999
Temperature,FE-4581,5/14/15,Field Measurement,S,Physical,SW,4.37,C,1,-9999
Turbidity,FE-4581,5/14/15,Field Measurement,S,Physical,SW,1.8,NTU,1,-9999
"Aluminum, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,120,ug/L,2,30
"Aluminum, total",FE-4581,6/9/15,Primary,S,Metals,SW,450,ug/L,2,30
"Antimony, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,2,ug/L,U,2
"Antimony, total",FE-4581,6/9/15,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Arsenic, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,1,ug/L,U,1
"Arsenic, total",FE-4581,6/9/15,Primary,S,Metals,SW,0.5,ug/L,U,0.2
"Barium, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,16,ug/L,2,3
"Barium, total",FE-4581,6/9/15,Primary,S,Metals,SW,19.3,ug/L,J+,0.5
"Beryllium, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,10,ug/L,U,10
"Beryllium, total",FE-4581,6/9/15,Primary,S,Metals,SW,10,ug/L,U,10
"Cadmium, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,1.4,ug/L,2,0.5
"Cadmium, total",FE-4581,6/9/15,Primary,S,Metals,SW,1.6,ug/L,J+,0.1
"Calcium, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,20500,ug/L,2,100
"Calcium, total",FE-4581,6/9/15,Primary,S,Metals,SW,21200,ug/L,2,100
DOC,FE-4581,6/9/15,Primary,S,General Chemistry,SW,1000,ug/L,U,1000
Cation-Anion Balance,FE-4581,6/9/15,Primary,S,General Chemistry,SW,0,%,2,-9999
"Chromium, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,3,ug/L,U,3
"Chromium, total",FE-4581,6/9/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Cobalt, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,0.4,ug/L,U,0.3
"Cobalt, total",FE-4581,6/9/15,Primary,S,Metals,SW,0.53,ug/L,2,0.05
"Copper, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,11,ug/L,2,3
"Copper, total",FE-4581,6/9/15,Primary,S,Metals,SW,17.8,ug/L,J+,0.5
"Hardness as CaCO3, T",FE-4581,6/9/15,Primary,S,General Chemistry,SW,59000,ug/L,2,800
"Iron, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,20,ug/L,U,20
"Iron, total",FE-4581,6/9/15,Primary,S,Metals,SW,280,ug/L,2,20
"Lead, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,0.9,ug/L,2,0.5
"Lead, total",FE-4581,6/9/15,Primary,S,Metals,SW,9.7,ug/L,J+,0.1
"Lithium, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,8,ug/L,U,8
"Lithium, total",FE-4581,6/9/15,Primary,S,Metals,SW,8,ug/L,U,8
"Magnesium, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,1800,ug/L,J+,200
"Magnesium, total",FE-4581,6/9/15,Primary,S,Metals,SW,1800,ug/L,J+,200
"Manganese, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,797,ug/L,2,5
"Manganese, total",FE-4581,6/9/15,Primary,S,Metals,SW,875,ug/L,2,5
"Molybdenum, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,3,ug/L,U,3
"Molybdenum, total",FE-4581,6/9/15,Primary,S,Metals,SW,0.8,ug/L,U,0.5
"Nickel, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,3,ug/L,U,3
"Nickel, total",FE-4581,6/9/15,Primary,S,Metals,SW,0.7,ug/L,U,0.6
"Potassium, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,600,ug/L,2,200
"Potassium, total",FE-4581,6/9/15,Primary,S,Metals,SW,600,ug/L,2,200
"TDS, measured",FE-4581,6/9/15,Primary,S,Physical,SW,84000,ug/L,J+,10000
TSS,FE-4581,6/9/15,Primary,S,Physical,SW,5000,ug/L,U,5000
"Selenium, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Selenium, total",FE-4581,6/9/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Silica, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,4600,ug/L,2,200
"Silica, total",FE-4581,6/9/15,Primary,S,Metals,SW,5500,ug/L,J-,200
"Silver, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,0.3,ug/L,U,0.3
"Silver, total",FE-4581,6/9/15,Primary,S,Metals,SW,0.05,ug/L,2,0.05
"Sodium, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,1000,ug/L,2,200
"Sodium, total",FE-4581,6/9/15,Primary,S,Metals,SW,1000,ug/L,2,200
"Strontium, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,187,ug/L,2,5
"Strontium, total",FE-4581,6/9/15,Primary,S,Metals,SW,185,ug/L,2,5
Sum of Anions,FE-4581,6/9/15,Primary,S,General Chemistry,SW,1.3,meq/L,2,-9999
Sum of Cations,FE-4581,6/9/15,Primary,S,General Chemistry,SW,1.3,meq/L,2,-9999
"Thallium, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Thallium, total",FE-4581,6/9/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
Total Alkalinity,FE-4581,6/9/15,Primary,S,General Chemistry,SW,23000,ug/L,J+,2000
"Vanadium, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,1,ug/L,U,1
"Vanadium, total",FE-4581,6/9/15,Primary,S,Metals,SW,0.3,ug/L,2,0.2
"Zinc, dissolved",FE-4581,6/9/15,Primary,S,Metals,SW,430,ug/L,2,10
"Zinc, total",FE-4581,6/9/15,Primary,S,Metals,SW,470,ug/L,2,10
Specific Conductance,FE-4581,6/9/15,Field Measurement,S,Physical,SW,127,uS/cm,1,-9999
ORP,FE-4581,6/9/15,Field Measurement,S,Physical,SW,282.5,mV,1,-9999
"Oxygen, Dissolved",FE-4581,6/9/15,Field Measurement,S,Physical,SW,11080,ug/L,1,-9999
pH,FE-4581,6/9/15,Field Measurement,S,Physical,SW,6.75,SU,1,-9999
Temperature,FE-4581,6/9/15,Field Measurement,S,Physical,SW,4.86,C,1,-9999
Turbidity,FE-4581,6/9/15,Field Measurement,S,Physical,SW,5.35,NTU,1,-9999
"Aluminum, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,70,ug/L,2,30
"Aluminum, total",FE-4581,9/15/15,Primary,S,Metals,SW,70,ug/L,2,30
"Antimony, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Antimony, total",FE-4581,9/15/15,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Arsenic, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Arsenic, total",FE-4581,9/15/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Barium, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,23.8,ug/L,2,0.5
"Barium, total",FE-4581,9/15/15,Primary,S,Metals,SW,24.3,ug/L,2,0.5
"Beryllium, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,10,ug/L,U,10
"Beryllium, total",FE-4581,9/15/15,Primary,S,Metals,SW,10,ug/L,U,10
"Cadmium, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,0.8,ug/L,2,0.1
"Cadmium, total",FE-4581,9/15/15,Primary,S,Metals,SW,0.9,ug/L,2,0.1
"Calcium, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,51600,ug/L,2,100
"Calcium, total",FE-4581,9/15/15,Primary,S,Metals,SW,52800,ug/L,2,100
DOC,FE-4581,9/15/15,Primary,S,General Chemistry,SW,1000,ug/L,U,1000
Cation-Anion Balance,FE-4581,9/15/15,Primary,S,General Chemistry,SW,3.4,%,2,-9999
"Chromium, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,10,ug/L,U,10
"Chromium, total",FE-4581,9/15/15,Primary,S,Metals,SW,10,ug/L,U,10
"Cobalt, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,0.31,ug/L,2,0.05
"Cobalt, total",FE-4581,9/15/15,Primary,S,Metals,SW,0.38,ug/L,2,0.05
"Copper, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,2.5,ug/L,2,0.5
"Copper, total",FE-4581,9/15/15,Primary,S,Metals,SW,3.6,ug/L,2,0.5
"Hardness as CaCO3, D",FE-4581,9/15/15,Primary,S,General Chemistry,SW,142000,ug/L,2,800
"Iron, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,20,ug/L,U,20
"Iron, total",FE-4581,9/15/15,Primary,S,Metals,SW,20,ug/L,U,20
"Lead, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,0.3,ug/L,2,0.1
"Lead, total",FE-4581,9/15/15,Primary,S,Metals,SW,1,ug/L,2,0.1
"Lithium, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,14,ug/L,2,8
"Lithium, total",FE-4581,9/15/15,Primary,S,Metals,SW,12,ug/L,2,8
"Magnesium, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,3200,ug/L,2,200
"Magnesium, total",FE-4581,9/15/15,Primary,S,Metals,SW,3000,ug/L,2,200
"Manganese, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,399,ug/L,2,5
"Manganese, total",FE-4581,9/15/15,Primary,S,Metals,SW,390,ug/L,2,5
"Molybdenum, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,1.8,ug/L,2,0.5
"Molybdenum, total",FE-4581,9/15/15,Primary,S,Metals,SW,1.8,ug/L,2,0.5
"Nickel, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,0.6,ug/L,U,0.6
"Nickel, total",FE-4581,9/15/15,Primary,S,Metals,SW,0.6,ug/L,U,0.6
"Potassium, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,700,ug/L,2,200
"Potassium, total",FE-4581,9/15/15,Primary,S,Metals,SW,600,ug/L,2,200
"TDS, measured",FE-4581,9/15/15,Primary,S,Physical,SW,192000,ug/L,2,10000
TSS,FE-4581,9/15/15,Primary,S,Physical,SW,5000,ug/L,U,5000
"Selenium, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,0.3,ug/L,2,0.1
"Selenium, total",FE-4581,9/15/15,Primary,S,Metals,SW,0.3,ug/L,J+,0.1
"Silica, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,7400,ug/L,2,200
"Silica, total",FE-4581,9/15/15,Primary,S,Metals,SW,7500,ug/L,J-,200
"Silver, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Silver, total",FE-4581,9/15/15,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Sodium, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,2200,ug/L,2,200
"Sodium, total",FE-4581,9/15/15,Primary,S,Metals,SW,2200,ug/L,2,200
"Strontium, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,497,ug/L,2,5
"Strontium, total",FE-4581,9/15/15,Primary,S,Metals,SW,494,ug/L,2,5
Sum of Anions,FE-4581,9/15/15,Primary,S,General Chemistry,SW,2.8,meq/L,2,-9999
Sum of Cations,FE-4581,9/15/15,Primary,S,General Chemistry,SW,3,meq/L,2,-9999
"Thallium, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Thallium, total",FE-4581,9/15/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
Total Alkalinity,FE-4581,9/15/15,Primary,S,General Chemistry,SW,38300,ug/L,2,2000
"Vanadium, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Vanadium, total",FE-4581,9/15/15,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Zinc, dissolved",FE-4581,9/15/15,Primary,S,Metals,SW,270,ug/L,2,10
"Zinc, total",FE-4581,9/15/15,Primary,S,Metals,SW,280,ug/L,2,10
ORP,FE-4581,9/15/15,Field Measurement,S,Physical,SW,200.9,mV,1,-9999
"Oxygen, Dissolved",FE-4581,9/15/15,Field Measurement,S,Physical,SW,13670,ug/L,1,-9999
pH,FE-4581,9/15/15,Field Measurement,S,Physical,SW,8,SU,1,-9999
Specific Conductance,FE-4581,9/15/15,Field Measurement,S,Physical,SW,272,uS/cm,1,-9999
Temperature,FE-4581,9/15/15,Field Measurement,S,Physical,SW,8.78,C,1,-9999
Turbidity,FE-4581,9/15/15,Field Measurement,S,Physical,SW,0.6,NTU,1,-9999
ORP,FE-4581,9/1/15,Field Measurement,S,Physical,SW,234.5,mV,1,-9999
"Oxygen, Dissolved",FE-4581,9/1/15,Field Measurement,S,Physical,SW,9530,ug/L,1,-9999
pH,FE-4581,9/1/15,Field Measurement,S,Physical,SW,8.14,SU,1,-9999
Specific Conductance,FE-4581,9/1/15,Field Measurement,S,Physical,SW,271,uS/cm,1,-9999
Temperature,FE-4581,9/1/15,Field Measurement,S,Physical,SW,9.47,C,1,-9999
Turbidity,FE-4581,9/1/15,Field Measurement,S,Physical,SW,0.3,NTU,1,-9999
"Aluminum, dissolved",FE-4581,6/7/16,Primary,S,Metals,SW,50,ug/L,2,30
"Aluminum, total",FE-4581,6/7/16,Primary,S,Metals,SW,490,ug/L,J,30
"Antimony, dissolved",FE-4581,6/7/16,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Antimony, total",FE-4581,6/7/16,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Arsenic, dissolved",FE-4581,6/7/16,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Arsenic, total",FE-4581,6/7/16,Primary,S,Metals,SW,0.5,ug/L,2,0.2
"Barium, dissolved",FE-4581,6/7/16,Primary,S,Metals,SW,14.9,ug/L,2,0.5
"Barium, total",FE-4581,6/7/16,Primary,S,Metals,SW,17,ug/L,2,0.5
"Beryllium, dissolved",FE-4581,6/7/16,Primary,S,Metals,SW,10,ug/L,U,10
"Beryllium, total",FE-4581,6/7/16,Primary,S,Metals,SW,10,ug/L,U,10
"Cadmium, dissolved",FE-4581,6/7/16,Primary,S,Metals,SW,1,ug/L,2,0.1
"Cadmium, total",FE-4581,6/7/16,Primary,S,Metals,SW,1,ug/L,2,0.1
"Calcium, dissolved",FE-4581,6/7/16,Primary,S,Metals,SW,19100,ug/L,2,100
